antecedent,consequent,support,confidence,lift
"全脂牛奶, 根茎类蔬菜",其他蔬菜,0.023182511438739197,0.47401247401247404,2.4497701954349353
根茎类蔬菜,其他蔬菜,0.047381799694966954,0.43470149253731344,2.2466049285887952
酸奶油,其他蔬菜,0.02887646161667514,0.40283687943262414,2.081923651718265
"全脂牛奶, 酸奶",其他蔬菜,0.02226741230299949,0.39745916515426494,2.0541307878571704
"其他蔬菜, 酸奶",全脂牛奶,0.02226741230299949,0.5128805620608898,2.0072345116867694
黄油,全脂牛奶,0.02755465175394001,0.4972477064220184,1.9460530014566455
猪肉,其他蔬菜,0.021657346212506354,0.37566137566137564,1.9414764212452074
凝乳,全脂牛奶,0.026131164209456024,0.4904580152671756,1.9194805332879712
"其他蔬菜, 根茎类蔬菜",全脂牛奶,0.023182511438739197,0.4892703862660944,1.9148325702057456
黄油,其他蔬菜,0.020030503304524657,0.3614678899082569,1.868122279163272
本地蛋类,全脂牛奶,0.029994916115912557,0.47275641025641024,1.8502026640954214
本地蛋类,其他蔬菜,0.02226741230299949,0.35096153846153844,1.8138238206879824
酸奶油,全脂牛奶,0.032231825114387394,0.449645390070922,1.7597542424781207
根茎类蔬菜,全脂牛奶,0.048906964921199794,0.44869402985074625,1.75603095247994
冷冻蔬菜,全脂牛奶,0.02043721403152008,0.4249471458773784,1.663093983169127
人造黄油,全脂牛奶,0.024199288256227757,0.4131944444444444,1.6170980346641903
牛肉,全脂牛奶,0.02125063548551093,0.4050387596899225,1.5851795469758803
热带水果,全脂牛奶,0.04229791560752415,0.40310077519379844,1.5775949558420244
酸奶,全脂牛奶,0.05602440264361973,0.40160349854227406,1.5717351405345263
仁果类水果,全脂牛奶,0.030096593797661414,0.3978494623655914,1.5570431605115762
黑面包,全脂牛奶,0.02521606507371632,0.3887147335423197,1.5212930379581038
其他蔬菜,全脂牛奶,0.07483477376715811,0.38675775091960063,1.5136340948246207
猪肉,全脂牛奶,0.022165734621250637,0.3844797178130512,1.504718672778097
糕点,全脂牛奶,0.033248601931875954,0.3737142857142857,1.4625865499403101
柑橘类水果,全脂牛奶,0.030503304524656837,0.36855036855036855,1.4423767905662055
水果/蔬菜汁,全脂牛奶,0.026639552618200304,0.36849507735583686,1.4421604002366317
